,edition,year,country,city,countries,all_contestant,male_contestant,female_contestant,start_date,end_date,lat,lng,avg_temperature
0,65,2024,United Kingdom,Bath,108,609,528,81.0,2024-07-11,2024-07-22,51.38,-2.36,19.25
1,64,2023,Japan,Chiba,112,618,550,67.0,2023-07-02,2023-07-13,35.6073,140.1064,25.645
2,63,2022,Norway,Oslo,104,589,521,68.0,2022-07-06,2022-07-16,59.9133,10.7389,19.204545454545453
3,62,2021,Russia,Saint Petersburg,107,619,555,64.0,2021-07-14,2021-07-24,59.9375,30.3086,23.701818181818183
6,59,2018,Romania,Cluj-Napoca,107,594,535,59.0,2018-07-03,2018-07-14,46.7667,23.5833,22.389166666666668
7,58,2017,Brazil,Rio de Janeiro,111,615,553,62.0,2017-07-12,2017-07-23,-22.9111,-43.2056,20.819166666666668
8,57,2016,Hong Kong,Hong Kong,109,602,531,71.0,2016-07-06,2016-07-16,22.3,114.2,28.779090909090915
9,56,2015,Thailand,Chiang Mai,104,577,525,52.0,2015-07-04,2015-07-16,18.7953,98.9986,27.726153846153846
10,55,2014,South Africa,Cape Town,101,560,504,56.0,2014-07-03,2014-07-13,-33.9253,18.4239,13.245454545454544
11,54,2013,Colombia,Santa Marta,97,527,475,52.0,2013-07-18,2013-07-28,11.2419,-74.2053,28.373636363636365
12,53,2012,Argentina,Mar del Plata,100,547,496,51.0,2012-07-04,2012-07-16,-38.0,-57.55,5.837692307692308
13,52,2011,Netherlands,Amsterdam,101,563,506,57.0,2011-07-12,2011-07-24,52.3728,4.8936,16.61769230769231
14,51,2010,Kazakhstan,Astana,95,522,469,47.0,2010-07-02,2010-07-14,51.1472,71.4222,22.409230769230774
15,50,2009,Germany,Bremen,104,565,506,59.0,2009-07-10,2009-07-22,53.0758,8.8072,20.013076923076923
16,49,2008,Spain,Madrid,97,535,480,55.0,2008-07-10,2008-07-22,40.4169,-3.7033,28.089230769230767
17,48,2007,Vietnam,Hanoi,93,520,471,49.0,2007-07-19,2007-07-31,21.0,105.85,29.151538461538465
18,47,2006,Slovenia,Ljubljana,90,498,460,38.0,2006-07-06,2006-07-18,46.0514,14.5061,25.61076923076923
19,46,2005,Mexico,Mérida,91,513,469,43.0,2005-07-08,2005-07-19,20.97,-89.62,26.932500000000005
20,45,2004,Greece,Athens,85,486,351,37.0,2004-07-06,2004-07-18,37.9842,23.7281,30.308461538461536
21,44,2003,Japan,Tokyo,82,457,333,29.0,2003-07-07,2003-07-19,35.6897,139.6922,21.40692307692308
22,43,2002,United Kingdom,Glasgow,84,479,341,37.0,2002-07-19,2002-07-30,55.8611,-4.25,15.463333333333333
23,42,2001,United States,Washington,83,473,440,33.0,2001-07-01,2001-07-14,38.9047,-77.0163,21.575
34,41,2000,"Korea, South",Daejeon,82,461,337,31.0,2000-07-13,2000-07-25,36.35,127.385,24.89769230769231
35,40,1999,Romania,Bucharest,81,450,319,37.0,1999-07-10,1999-07-22,44.4325,26.1039,26.903076923076924
36,39,1998,Taiwan,Taipei,76,419,298,30.0,1998-07-10,1998-07-21,25.0375,121.5625,28.71416666666666
38,37,1996,India,Mumbai,75,424,314,25.0,1996-07-05,1996-07-17,19.0761,72.8775,27.26461538461539
